iter	Passed	Remaining
398	361048	91393
399	362099	90524
400	362988	89615
401	363772	88680
402	364575	87751
403	365587	86872
404	366501	85969
405	367670	85125
406	368775	84265
407	369903	83409
408	370962	82536
409	372147	81690
410	373255	80826
411	374177	79921
412	375238	79045
413	376189	78145
414	377244	77266
415	378340	76395
416	379512	75538
417	380576	74658
418	381746	73798
419	382586	72873
420	383648	71990
421	384570	71081
422	385649	70200
423	386812	69334
424	387953	68462
425	389053	67582
426	389914	66659
427	391102	65792
428	391997	64876
429	393121	63996
430	394123	63096
431	395202	62207
432	396161	61299
433	397191	60402
434	398157	59494
435	398888	58552
436	399537	57599
437	400550	56698
438	401419	55778
439	402512	54888
440	403333	53960
441	404152	53033
442	405199	52136
443	405986	51205
444	406866	50286
445	407708	49363
446	408765	48466
447	409885	47575
448	410939	46676
449	411860	45762
450	413068	44878
451	414178	43983
452	415174	43075
453	416369	42187
454	417668	41307
455	418697	40400
456	419892	39508
457	420915	38599
458	421942	37689
459	423027	36784
460	424201	35886
461	425406	34990
462	426542	34086
463	427598	33175
464	428614	32261
465	429870	31363
466	430795	30441
467	431774	29523
468	432704	28600
469	433974	27700
470	435072	26787
471	436301	25882
472	437341	24964
473	438254	24039
474	439403	23126
475	440157	22192
476	441084	21268
477	442187	20351
478	442998	19421
479	443994	18499
480	444772	17568
481	445631	16641
482	446661	15721
483	447689	14799
484	448722	13878
485	449907	12960
486	450859	12035
487	451936	11113
488	452882	10187
489	454055	9266
490	455269	8345
491	456283	7419
492	457521	6496
493	458767	5572
494	460128	4647
495	461158	3719
496	462064	2789
497	463361	1860
498	464448	930
499	465897	0
