iter	RMSE
349	45.29748978
350	45.276987
351	45.25763455
352	45.23849167
353	45.2187288
354	45.19803822
355	45.17881142
356	45.15987631
357	45.1392018
358	45.11980212
359	45.10253025
360	45.08315998
361	45.0639026
362	45.04461485
363	45.02519862
364	45.00669588
365	44.98910266
366	44.96975314
367	44.95303086
368	44.93287789
369	44.91357619
370	44.89514324
371	44.87638448
372	44.8588937
373	44.84128534
374	44.82389621
375	44.80674802
376	44.78726802
377	44.7707243
378	44.7541453
379	44.73640214
380	44.71855207
381	44.70197914
382	44.68472124
383	44.66828805
384	44.65100909
385	44.63545991
386	44.61897834
387	44.60142463
388	44.58350366
389	44.56713418
390	44.54880837
391	44.53186167
392	44.5171
393	44.49964428
394	44.48375743
395	44.46665496
396	44.44886889
397	44.43211819
398	44.41580042
399	44.39814513
400	44.38077662
401	44.36529518
402	44.34960197
403	44.3296042
404	44.314082
405	44.29702553
406	44.28022137
407	44.26224653
408	44.24951829
409	44.23176505
410	44.21558935
411	44.1997767
412	44.18265195
413	44.16614462
414	44.15029596
415	44.13396323
416	44.11819031
417	44.10229659
418	44.08700026
419	44.07209853
420	44.05583967
421	44.04148714
422	44.02630467
423	44.00917041
424	43.99215839
425	43.97592499
426	43.96245285
427	43.94698352
428	43.93299751
429	43.91782677
430	43.90386529
431	43.88821957
432	43.87299982
433	43.85772848
434	43.84465665
435	43.83071029
436	43.81741886
437	43.80295688
438	43.78777011
439	43.77121564
440	43.75678103
441	43.74265955
442	43.72777514
443	43.71190662
444	43.6979338
445	43.68461068
446	43.6698946
447	43.65576074
448	43.64169026
449	43.6282367
450	43.61442902
451	43.59991658
452	43.585344
453	43.57139486
454	43.55592866
455	43.54146249
456	43.52679426
457	43.51226774
458	43.49769374
459	43.48356888
460	43.46852768
461	43.45029802
462	43.43713653
463	43.42353322
464	43.40885644
465	43.3942621
466	43.38320093
467	43.37014065
468	43.35852479
469	43.3442847
470	43.32868517
471	43.31433162
472	43.3029963
473	43.28976322
474	43.27574245
475	43.26341039
476	43.24807875
477	43.23335371
478	43.22099317
479	43.20809944
480	43.1948731
481	43.18076287
482	43.16681276
483	43.15208333
484	43.13863186
485	43.1251948
486	43.11388054
487	43.10051137
488	43.0871136
489	43.07421271
490	43.05924648
491	43.04605517
492	43.03351582
493	43.01892575
494	43.00408582
495	42.99180952
496	42.98017029
497	42.96505863
498	42.95107844
499	42.93458611
